date,open,high,low,close,volume
2026-03-03,118.03125,118.0625,116.96875,117.6875,16313
2026-03-04,117.65625,117.65625,117.1875,117.46875,2954
2026-03-05,117.21875,117.21875,116.5625,116.625,8923
2026-03-06,116.625,116.96875,115.875,116.59375,5075
2026-03-09,116.0,117.21875,115.53125,116.6875,27622
2026-03-10,117.15625,117.15625,116.21875,116.53125,3895
2026-03-11,116.1875,116.28125,115.0,115.21875,4615
2026-03-12,114.6875,115.03125,114.59375,114.59375,511
2026-03-13,114.5,114.75,114.09375,114.1875,181
2026-03-16,114.375,115.09375,114.375,115.09375,4187
2026-03-17,114.9375,115.4375,114.71875,115.3125,11944
2026-03-18,115.71875,115.71875,114.625,114.71875,1515
2026-03-19,114.5625,114.9375,114.25,114.8125,22
2026-03-20,114.125,114.125,113.21875,113.3125,799888
2026-03-23,112.0,113.5,111.78125,113.1875,969896
2026-03-24,113.09375,113.28125,112.0625,112.625,719955
2026-03-25,113.0,113.78125,112.96875,113.5625,590564
2026-03-26,113.5,113.53125,112.53125,112.6875,536112
2026-03-27,112.8125,112.90625,111.71875,112.1875,530841
2026-03-30,112.3125,113.8125,112.21875,113.5,479427
2026-03-31,113.40625,114.1875,113.21875,113.875,718026
2026-04-01,113.5625,114.4375,113.4375,113.71875,519973
2026-04-02,113.65625,114.21875,112.78125,113.9375,475959
2026-04-06,113.46875,114.0625,113.25,113.875,289991
2026-04-07,113.84375,114.1875,113.03125,113.5,535834
2026-04-08,114.1875,115.0,113.96875,114.1875,533225
2026-04-09,114.125,114.625,113.71875,114.125,404293
2026-04-10,114.3125,114.34375,113.65625,113.78125,269437
2026-04-13,113.3125,114.21875,113.09375,114.0625,350639
2026-04-14,114.125,114.8125,114.03125,114.65625,288877
2026-04-15,114.75,114.9375,114.15625,114.34375,289801
2026-04-16,114.1875,114.5,113.59375,113.75,329472
2026-04-17,113.65625,114.90625,113.5,114.59375,454908
2026-04-20,114.28125,114.6875,114.03125,114.65625,295434
2026-04-21,114.5625,114.84375,113.8125,114.1875,477252
2026-04-22,114.1875,114.625,113.96875,114.15625,413329
2026-04-23,114.0625,114.40625,113.4375,113.84375,514615
2026-04-24,113.90625,114.21875,113.4375,114.0,446407
2026-04-27,114.0,114.03125,113.5,113.6875,298616
2026-04-28,113.5625,113.71875,113.0625,113.53125,343825
2026-04-29,113.625,113.6875,112.4375,112.6875,500202
2026-04-30,112.46875,113.125,112.34375,112.84375,599904
2026-05-01,113.09375,113.53125,112.71875,113.09375,433646
2026-05-04,113.25,113.46875,112.0,112.15625,573375
2026-05-05,112.3125,112.8125,112.15625,112.71875,359473
2026-05-06,112.625,113.875,112.625,113.625,580670
2026-05-07,113.6875,114.125,113.03125,113.15625,521732
2026-05-08,113.125,113.84375,113.0625,113.5625,396473
2026-05-11,113.59375,113.59375,112.90625,112.96875,287511
2026-05-12,112.9375,113.0,112.1875,112.28125,452903
2026-05-13,112.28125,112.40625,111.8125,112.0625,446941
2026-05-14,112.1875,112.78125,112.0625,112.46875,402118
2026-05-15,112.15625,112.15625,110.53125,110.625,610497
2026-05-18,110.59375,111.03125,110.15625,110.375,762169
2026-05-19,110.6875,110.8125,109.5625,109.8125,646081
2026-05-20,109.8125,111.03125,109.5,110.875,766102
2026-05-21,110.71875,111.28125,110.15625,110.875,1373169
2026-05-22,111.09375,111.71875,111.03125,111.21875,879607
2026-05-26,111.625,112.5625,111.625,112.1875,1351228
2026-05-27,112.21875,112.8125,112.1875,112.40625,455681
2026-05-28,112.34375,113.09375,111.71875,112.8125,125211
2026-05-29,112.9375,113.125,112.6875,112.71875,22527
2026-06-01,112.875,113.0625,112.125,112.71875,10871
2026-06-02,113.0,113.40625,112.875,113.03125,26598
2026-06-03,113.0625,113.0625,112.46875,112.59375,6269
2026-06-04,112.78125,113.15625,112.59375,112.78125,1234
2026-06-05,112.84375,112.9375,112.0625,112.25,1421
2026-06-08,112.1875,112.25,111.75,112.0,1784
2026-06-09,111.75,112.4375,111.75,112.28125,19574
